clip_id,complexity_score,mean_total_ms,std_total_ms,mean_prefill_ms,mean_autoregressive_ms,mean_vlm_ms,mean_diffusion_ms,mean_minADE,mean_coc_token_count,n_iterations
0b61ec77-e155-4c49-b97f-c7ec5fbb039f,3,1251.6,14.66,659.2,391.0,1050.2,198.38,1.11,71.2,10
1c968fa8-72a3-4965-8e03-fe824fdf8512,3,1249.23,89.41,671.79,380.96,1052.75,193.6,3.02,63.2,10
2319b008-793c-49d6-b579-923eedd2dc72,4,1265.05,96.92,671.61,397.09,1068.71,193.49,4.09,71.4,10
2774c86d-4177-4d35-a3e6-7c0f64853834,3,1261.91,10.78,672.06,392.66,1064.72,194.27,7.0,71.4,10
2c6e8247-11ef-4e2f-9027-27a25f33f37b,3,1186.25,14.94,670.98,319.49,990.47,192.92,1.75,67.6,10
337a6c35-4e13-4f32-960e-a1b6a4b3c3dd,4,1274.81,59.63,675.33,402.48,1077.81,194.11,2.48,71.9,10
36c01c90-8efc-4c21-8e43-158a4c86214f,4,1253.43,10.72,664.55,391.79,1056.34,194.29,3.89,71.3,10
3ea68cb7-36bb-41ce-8bae-b8c4c04b32a0,4,1207.91,58.05,668.43,342.95,1011.38,193.53,2.43,62.4,10
4de1d6b6-f074-4a6e-a167-d86265d6f424,4,1285.55,41.66,671.11,417.62,1088.74,193.94,2.37,65.9,10
5cf10b74-574b-419a-b7eb-0e2a6663dc75,4,1233.26,51.75,674.93,358.62,1033.54,196.77,0.6,65.6,10
65c12666-3a74-4cc2-939c-fa1a7d0c8606,3,1255.56,11.61,666.01,392.25,1058.26,194.33,5.13,72.0,10
6772f2ec-de25-4cce-b731-0af9f06fbdc6,2,1201.99,39.37,653.53,353.7,1007.23,191.71,1.31,60.8,10
707efc2c-34f3-4f20-84c7-8ed6a029e6a7,2,1231.1,12.35,670.02,364.22,1034.23,193.93,3.34,63.6,10
72bd6f52-0836-4b0d-9909-5bdedd987613,3,1273.29,51.92,671.56,402.6,1074.16,196.15,13.4,76.2,10
770cc49c-37bf-4385-8c2a-30153b0b6a62,2,1263.57,10.91,673.66,392.63,1066.29,194.36,1.71,72.0,10
908d9f04-1925-4a64-a046-99348347087e,4,1198.87,23.16,667.17,336.13,1003.3,192.66,0.65,56.9,10
973f47f2-8577-4323-820c-ed080f1cf833,2,1262.31,36.97,666.71,399.07,1065.79,193.36,1.18,62.2,10
983e7342-b94b-4b67-8052-31312633f78e,3,1256.8,11.83,667.25,392.5,1059.75,194.25,1.85,72.0,10
aca01906-6fa5-4407-ada8-79f4900d2c28,2,1200.47,114.88,668.12,336.35,1004.47,193.1,1.1,63.2,10
b89c9fb0-ea2c-4043-b7a5-2570ea3fa241,4,1247.63,47.78,671.21,378.2,1049.41,195.33,0.98,64.4,10
bea4f948-bf4e-4763-8a85-bdadb7c863aa,3,1366.25,276.61,644.75,524.62,1169.37,194.07,3.17,99.4,10
c03d7d96-835c-40d1-91e2-cc7f51bcb25c,4,1148.93,53.76,670.25,279.7,949.95,196.08,1.15,44.7,10
c7bed08e-975a-4285-b399-5ea67a725b68,3,1277.64,25.05,673.24,407.22,1080.45,194.31,4.49,74.4,10
c9e75d03-6d05-4295-ab9d-3c2b904bc4f8,5,1668.04,374.26,676.83,793.62,1470.44,194.48,2.36,156.7,10
cede960a-113b-4eca-bc7b-b313fa21c898,5,1228.92,33.85,677.13,355.73,1032.86,193.12,3.64,67.8,10
d4a97e34-e8f6-45b1-9a7a-a88bd3282857,4,1170.63,69.76,669.02,305.4,974.42,193.23,0.8,50.4,10
d84090dd-897b-42e5-9e75-8f472865ccba,3,1231.56,53.45,671.13,364.28,1035.41,193.22,2.68,64.6,10
e43bcbc8-e11b-4d4a-9b01-85dfee6cc142,2,1117.66,48.67,659.09,262.52,921.6,193.26,2.07,41.1,10
ee1e7b03-3c79-4659-9084-24b8d0a39ff1,5,1250.07,30.37,670.26,382.93,1053.18,194.04,1.18,70.6,10
efc00ec5-6714-4f93-a641-822c298800ae,1,1109.75,11.64,667.04,246.28,913.32,193.56,2.55,37.9,10
